number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,system_attrs_nsga2:generation,state
45,0.2076628527227938,0.49618400401831675,2024-03-09 21:45:04.857314,2024-03-09 21:48:22.938040,0 days 00:03:18.080726,0.0002875473321699266,dart,0.7650037567942802,0.3029334545827099,5.948427828507932e-06,lossguide,7.679992452201878e-08,3,4,100,forest,0.4956108669022848,uniform,0.0023497530888944604,0.6449514187643419,0,COMPLETE
46,-0.08400357913407679,0.6803833345261783,2024-03-09 21:48:22.939042,2024-03-09 22:13:58.827538,0 days 00:25:35.888496,0.00027726786385975314,dart,0.5611486574777653,0.0010098770308307964,2.0183889293327094e-06,depthwise,0.02681986683599216,7,8,300,tree,0.3450282065192075,weighted,3.520625480626134e-07,0.35683849948868734,0,COMPLETE
47,-0.09722364732739766,0.6887097728381498,2024-03-09 22:13:58.827538,2024-03-09 22:27:54.894051,0 days 00:13:56.066513,0.00012452769864459932,dart,0.33391764053068607,1.1859338638426586e-07,4.262740704383536e-06,lossguide,0.000836553125049396,7,8,240,tree,0.6164665792810613,weighted,1.1888513884386932e-06,0.4385125970327277,0,COMPLETE
48,-0.0969822693430121,0.6885569258367107,2024-03-09 22:27:54.894051,2024-03-09 22:44:27.751189,0 days 00:16:32.857138,0.36453364992937715,dart,0.9716229769064442,1.8879987131779035e-06,0.003817146014214114,depthwise,0.0011062515685809791,7,2,180,tree,1.550720538059521e-06,uniform,2.59159188688172e-07,0.4431945483456887,0,COMPLETE
49,-0.07858081242890598,0.6767107830133334,2024-03-09 22:44:27.751189,2024-03-09 22:46:55.515613,0 days 00:02:27.764424,5.657597514740865e-07,gbtree,0.7311419970605237,0.00023074992263553547,4.700718542563148e-08,depthwise,1.3563327114885502e-06,3,2,220,,,,,0.376237895814979,0,COMPLETE
50,-0.09721123123130604,0.6887010533088578,2024-03-09 22:46:55.515613,2024-03-09 23:14:41.458496,0 days 00:27:45.942883,0.00047799116813024425,dart,0.27690635590873014,1.2915531949292957e-07,0.0009275423513280933,depthwise,0.0017759003191941225,3,6,300,forest,1.4591785394435396e-06,uniform,3.610712273641663e-05,0.5457164597155926,1,COMPLETE
51,-0.09463832700583867,0.6870641011029937,2024-03-09 23:14:41.458496,2024-03-09 23:19:33.692592,0 days 00:04:52.234096,0.5661969026408644,gbtree,0.4128320152862685,1.4800112810493611e-05,8.726583060656449e-08,lossguide,2.4093613350298075e-07,5,2,300,,,,,0.7036831165711597,1,COMPLETE
52,-0.09591890114780059,0.6878787423561492,2024-03-09 23:19:33.692592,2024-03-09 23:42:06.553386,0 days 00:22:32.860794,1.0258443747333188e-06,dart,0.8501005677298119,9.687000551375115e-06,0.0014314784337936153,depthwise,0.0024327791452268487,5,8,220,forest,0.0005011538393998017,uniform,3.6291945023056283e-07,0.9980577575304108,1,COMPLETE
53,0.23858400379333009,0.47775347017985154,2024-03-09 23:42:06.554754,2024-03-09 23:45:49.473303,0 days 00:03:42.918549,9.085750785301884e-06,gbtree,0.5474429572148476,0.008660697808038818,5.31103171964554e-08,lossguide,7.810165979136746e-06,3,8,280,,,,,0.8666474072967767,1,COMPLETE
54,0.1675681948412149,0.5213514879541138,2024-03-09 23:45:49.473303,2024-03-09 23:47:51.406510,0 days 00:02:01.933207,1.9796856303780546e-06,gbtree,0.796308115344166,0.009750923872912072,0.23378698533003012,depthwise,4.507658107196218e-08,3,10,140,,,,,0.4628990729144432,1,COMPLETE
