number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
36,0.45957418709289877,2024-03-19 23:55:21.637233,2024-03-20 00:01:13.665809,0 days 00:05:52.028576,2.1680310476290343e-05,dart,0.6545615535009301,0.030174015012036277,9.628144626181024e-05,lossguide,8.52641475000237e-07,9,2,240,forest,1.1052019347763756e-08,weighted,1.5995714937237237e-06,0.772246757340352,COMPLETE
37,0.2476570293616415,2024-03-20 00:01:13.667819,2024-03-20 00:05:31.047911,0 days 00:04:17.380092,6.676639476045823e-05,dart,0.5857848591713359,0.005193866010889276,0.01471279918107217,lossguide,2.0365340677372505e-07,9,3,200,forest,1.789013264888536e-05,weighted,0.007731877477372785,0.7385185720137921,COMPLETE
38,-0.09661343592215163,2024-03-20 00:05:31.048915,2024-03-20 00:11:33.306980,0 days 00:06:02.258065,2.5831882332446875e-07,dart,0.7835681514829154,3.824141649213798e-06,0.1511918594415655,lossguide,1.0690293492799377e-05,9,6,240,forest,1.1416059141964722e-08,weighted,0.09911981158489307,0.6315835401432418,COMPLETE
39,-0.09722318214049586,2024-03-20 00:11:33.306980,2024-03-20 00:16:01.780419,0 days 00:04:28.473439,0.0076204874520650785,dart,0.22048020155297932,4.733348991956667e-08,2.0364520066741923e-05,lossguide,0.00035179854618055733,9,3,220,forest,7.640894144758046e-07,weighted,0.00036963642125415066,0.6919132613797716,COMPLETE
40,0.3612023505016175,2024-03-20 00:16:01.781421,2024-03-20 00:19:30.010115,0 days 00:03:28.228694,0.0004793844679079717,dart,0.6521265376387952,0.013635436096501563,0.00022941594261872308,lossguide,5.95912848489539e-07,9,6,180,forest,9.718976093635874e-08,weighted,3.1326475244102594e-05,0.6551135394427224,COMPLETE
41,0.4746196770297086,2024-03-20 00:19:30.010115,2024-03-20 00:26:57.007912,0 days 00:07:26.997797,1.7769032371568068e-06,dart,0.7343589011484258,0.10399989953534153,0.0009843295726483306,lossguide,2.1260998534887673e-06,9,4,280,tree,1.580884083468425e-07,uniform,0.0004056599471508952,0.4776227295835681,COMPLETE
42,0.33417928454749973,2024-03-20 00:26:57.010420,2024-03-20 00:33:44.520641,0 days 00:06:47.510221,1.4813550618039906e-06,dart,0.7493270375799309,0.41557461279500474,0.0006724015120878862,lossguide,8.744476143110522e-08,9,5,260,forest,3.470168451769765e-08,weighted,5.546902917634096e-05,0.5394183064422277,COMPLETE
43,0.4062294995233005,2024-03-20 00:33:44.522080,2024-03-20 00:35:00.310146,0 days 00:01:15.788066,1.1188820765138788e-05,dart,0.8306821176190855,0.07441533880698838,0.003518297601327459,lossguide,1.8392888263724523e-06,9,4,100,tree,1.4252561551465412e-06,uniform,0.000453418652711705,0.27236575792938755,COMPLETE
44,0.46991128665169335,2024-03-20 00:35:00.312518,2024-03-20 00:42:24.648170,0 days 00:07:24.335652,2.8644595717695623e-06,dart,0.6620722107264415,0.03557135652296763,0.0023070002712357665,lossguide,1.074082852082604e-05,9,3,280,forest,1.8551850327498457e-07,uniform,2.9404961439703056e-06,0.7288156151180787,COMPLETE
45,0.38272285858256183,2024-03-20 00:42:24.648170,2024-03-20 00:50:02.859276,0 days 00:07:38.211106,7.815137922674252e-07,dart,0.6191373346923186,0.3716474818123131,0.011550960404964236,lossguide,9.616049077090616e-06,9,5,280,forest,1.7050999058715567e-07,uniform,2.2496452144201088e-06,0.6090461193943228,COMPLETE
