number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_nsga2:generation,state
67,0.3492086116817067,0.4072507482158951,2024-03-13 21:11:27.051072,2024-03-13 21:11:42.686237,0 days 00:00:15.635165,squared_error,7,,700,5,6,160,1,COMPLETE
68,0.2563404411049578,0.46773682383246884,2024-03-13 21:11:42.688258,2024-03-13 21:11:54.652947,0 days 00:00:11.964689,squared_error,5,,900,5,6,180,1,COMPLETE
69,0.3113646105197231,0.43019987588443465,2024-03-13 21:11:54.653949,2024-03-13 21:11:56.595330,0 days 00:00:01.941381,squared_error,9,log2,400,1,4,180,1,COMPLETE
70,0.256737002647105,0.4674124252358543,2024-03-13 21:11:56.595330,2024-03-13 21:12:08.824916,0 days 00:00:12.229586,friedman_mse,5,,100,3,10,180,1,COMPLETE
71,0.20935555557596244,0.5053283122851348,2024-03-13 21:12:08.824916,2024-03-13 21:13:20.241758,0 days 00:01:11.416842,absolute_error,7,log2,1000,1,2,100,1,COMPLETE
72,0.40787188889068354,0.36997955495119467,2024-03-13 21:13:20.242760,2024-03-13 21:13:46.321342,0 days 00:00:26.078582,friedman_mse,9,,200,3,8,200,1,COMPLETE
73,0.4080217643058825,0.36996189900521786,2024-03-13 21:13:46.322329,2024-03-13 21:14:07.266317,0 days 00:00:20.943988,friedman_mse,9,,900,3,8,160,1,COMPLETE
74,0.3779951320479384,0.39298007041768646,2024-03-13 21:14:07.267320,2024-03-13 22:02:32.051985,0 days 00:48:24.784665,absolute_error,9,,600,3,8,200,1,COMPLETE
75,0.23513933751435254,0.4857754308057921,2024-03-13 22:02:32.052988,2024-03-13 22:37:33.444262,0 days 00:35:01.391274,absolute_error,5,,1000,1,4,160,1,COMPLETE
76,0.3509297586074996,0.40600418619414647,2024-03-13 22:37:33.445263,2024-03-13 22:37:54.504279,0 days 00:00:21.059016,squared_error,7,,800,3,8,200,1,COMPLETE
77,0.24366302389947836,0.4829135544542127,2024-03-13 22:37:54.506272,2024-03-13 22:40:26.866153,0 days 00:02:32.359881,absolute_error,7,sqrt,600,1,10,140,1,COMPLETE
78,0.3492086116817067,0.4072507482158951,2024-03-13 22:40:26.866153,2024-03-13 22:40:42.414189,0 days 00:00:15.548036,squared_error,7,,400,5,6,160,1,COMPLETE
79,0.3477024148251192,0.4073397336330573,2024-03-13 22:40:42.414189,2024-03-13 22:40:44.250445,0 days 00:00:01.836256,friedman_mse,9,sqrt,800,3,2,120,1,COMPLETE
80,0.35077929617289916,0.40612464722771496,2024-03-13 22:40:44.252151,2024-03-13 22:40:59.947253,0 days 00:00:15.695102,squared_error,7,,700,3,8,160,1,COMPLETE
81,0.25667517991429295,0.4674474204926605,2024-03-13 22:40:59.947253,2024-03-13 22:41:11.890641,0 days 00:00:11.943388,squared_error,5,,800,1,4,180,1,COMPLETE
82,0.3003257347595496,0.4375927256684976,2024-03-13 22:41:11.891643,2024-03-13 22:41:13.041551,0 days 00:00:01.149908,friedman_mse,9,log2,1000,3,4,100,1,COMPLETE
