number,values_0,values_1,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,system_attrs_nsga2:generation,state
62,0.49519680742613037,0.31547314733223447,2024-03-17 01:44:52.770750,2024-03-17 01:45:47.398936,0 days 00:00:54.628186,friedman_mse,15,,700,240,1,COMPLETE
63,0.460526675275381,0.33636935472646284,2024-03-17 01:45:47.398936,2024-03-17 01:46:40.248005,0 days 00:00:52.849069,squared_error,15,,300,300,1,COMPLETE
64,0.5085144508250125,0.3075165019556813,2024-03-17 01:46:40.248005,2024-03-17 01:47:59.653999,0 days 00:01:19.405994,friedman_mse,17,,1000,320,1,COMPLETE
65,0.32375597143232354,0.42185175144168063,2024-03-17 01:47:59.656012,2024-03-17 01:48:02.187566,0 days 00:00:02.531554,friedman_mse,19,sqrt,100,200,1,COMPLETE
66,0.42971908400675957,0.35539405213061104,2024-03-17 01:48:02.187566,2024-03-17 01:48:08.018948,0 days 00:00:05.831382,squared_error,15,sqrt,400,320,1,COMPLETE
67,0.464248371454593,0.3338750361022844,2024-03-17 01:48:08.018948,2024-03-17 01:48:15.276459,0 days 00:00:07.257511,friedman_mse,15,sqrt,700,340,1,COMPLETE
68,0.4863210167038178,0.32030244730245794,2024-03-17 01:48:15.276459,2024-03-17 01:48:20.905646,0 days 00:00:05.629187,squared_error,17,sqrt,1000,220,1,COMPLETE
69,0.4932472624927164,0.31709120190530726,2024-03-17 01:48:20.905646,2024-03-17 03:20:33.394232,0 days 01:32:12.488586,absolute_error,17,,1000,360,1,COMPLETE
70,0.44556165226525496,0.34905618617806644,2024-03-17 03:20:33.394232,2024-03-17 03:24:46.909168,0 days 00:04:13.514936,absolute_error,15,sqrt,800,220,1,COMPLETE
71,0.38588529997946075,0.3833847992563226,2024-03-17 03:24:46.911495,2024-03-17 03:25:27.839995,0 days 00:00:40.928500,squared_error,19,,100,320,1,COMPLETE
72,0.43115329766749005,0.35453460495537165,2024-03-17 03:25:27.839995,2024-03-17 03:25:33.943130,0 days 00:00:06.103135,squared_error,19,sqrt,400,340,1,COMPLETE
73,0.48388766392518734,0.32257672617999106,2024-03-17 03:25:33.943130,2024-03-17 03:26:42.886097,0 days 00:01:08.942967,squared_error,13,,700,340,1,COMPLETE
74,0.4546800493242862,0.3424324788023013,2024-03-17 03:26:42.886097,2024-03-17 04:37:19.713794,0 days 01:10:36.827697,absolute_error,19,,400,280,1,COMPLETE
75,0.4349792812063934,0.35234421405365596,2024-03-17 04:37:19.713794,2024-03-17 04:37:56.676005,0 days 00:00:36.962211,squared_error,15,,200,220,1,COMPLETE
76,0.4048727205246805,0.3760221866358713,2024-03-17 04:37:56.676005,2024-03-17 04:42:27.624780,0 days 00:04:30.948775,absolute_error,19,sqrt,400,240,1,COMPLETE
77,0.5036949951250355,0.31027901439389416,2024-03-17 04:42:27.624780,2024-03-17 04:43:32.372866,0 days 00:01:04.748086,squared_error,17,,800,280,1,COMPLETE
78,0.486158268047547,0.3204315972393198,2024-03-17 04:43:32.375390,2024-03-17 04:43:39.845287,0 days 00:00:07.469897,friedman_mse,17,sqrt,1000,300,1,COMPLETE
79,0.3770472133277168,0.3882605265980411,2024-03-17 04:43:39.845287,2024-03-17 04:43:45.085369,0 days 00:00:05.240082,squared_error,13,sqrt,200,320,1,COMPLETE
80,0.46319010934878957,0.33668335253209997,2024-03-17 04:43:45.085369,2024-03-17 06:04:03.414555,0 days 01:20:18.329186,absolute_error,13,,700,320,1,COMPLETE
81,0.4955310025219973,0.31527809959479697,2024-03-17 06:04:03.414555,2024-03-17 06:04:59.028291,0 days 00:00:55.613736,friedman_mse,15,,700,260,1,COMPLETE
82,0.4765787798577401,0.32662967296448736,2024-03-17 06:04:59.030305,2024-03-17 06:05:38.413604,0 days 00:00:39.383299,squared_error,17,,400,200,1,COMPLETE
83,0.4336938072998211,0.35696406225565175,2024-03-17 06:05:38.413604,2024-03-17 06:12:03.466206,0 days 00:06:25.052602,absolute_error,19,sqrt,600,340,1,COMPLETE
84,0.4604951830465523,0.33638154500033357,2024-03-17 06:12:03.466206,2024-03-17 06:12:55.082145,0 days 00:00:51.615939,friedman_mse,15,,300,300,1,COMPLETE
85,0.46096548470010373,0.33611159774438076,2024-03-17 06:12:55.082145,2024-03-17 06:13:34.579404,0 days 00:00:39.497259,friedman_mse,17,,300,220,1,COMPLETE
86,0.4070722195942988,0.36944238744021646,2024-03-17 06:13:34.579404,2024-03-17 06:13:39.440039,0 days 00:00:04.860635,squared_error,13,sqrt,300,300,1,COMPLETE
87,0.4577528909713938,0.33817055820805947,2024-03-17 06:13:39.442547,2024-03-17 06:14:36.841831,0 days 00:00:57.399284,squared_error,13,,300,340,1,COMPLETE
88,0.4312630337444661,0.35448390593952755,2024-03-17 06:14:36.844869,2024-03-17 06:14:42.275210,0 days 00:00:05.430341,squared_error,19,sqrt,400,300,1,COMPLETE
89,0.4539718924191877,0.3428636912482128,2024-03-17 06:14:42.275210,2024-03-17 07:20:09.987473,0 days 01:05:27.712263,absolute_error,17,,400,260,1,COMPLETE
90,0.46380943808011954,0.3341412072043348,2024-03-17 07:20:09.987473,2024-03-17 07:20:20.367920,0 days 00:00:10.380447,friedman_mse,13,sqrt,1000,340,1,COMPLETE
91,0.502217406276103,0.3113918873693526,2024-03-17 07:20:20.368922,2024-03-17 07:21:47.664413,0 days 00:01:27.295491,squared_error,15,,1000,360,1,COMPLETE
92,0.4258241131912082,0.3577797762934722,2024-03-17 07:21:47.666419,2024-03-17 07:21:51.600569,0 days 00:00:03.934150,squared_error,13,sqrt,400,220,1,COMPLETE
93,0.43434592934265376,0.3527042480854621,2024-03-17 07:21:51.600569,2024-03-17 07:22:43.426982,0 days 00:00:51.826413,friedman_mse,13,,200,340,1,COMPLETE
94,0.3855010991943251,0.3836702384105815,2024-03-17 07:22:43.426982,2024-03-17 07:23:12.824324,0 days 00:00:29.397342,squared_error,17,,100,240,1,COMPLETE
95,0.47694528100117556,0.32639254667646955,2024-03-17 07:23:12.825325,2024-03-17 07:23:50.895581,0 days 00:00:38.070256,friedman_mse,19,,400,200,1,COMPLETE
96,0.5006825897211634,0.3122382881659522,2024-03-17 07:23:50.896583,2024-03-17 07:25:05.443695,0 days 00:01:14.547112,friedman_mse,15,,900,320,1,COMPLETE
97,0.4867230001411283,0.3214892437824208,2024-03-17 07:25:05.443695,2024-03-17 08:21:16.563810,0 days 00:56:11.120115,absolute_error,17,,800,220,1,COMPLETE
98,0.40407057653696593,0.3764079126977671,2024-03-17 08:21:16.563810,2024-03-17 08:25:04.261008,0 days 00:03:47.697198,absolute_error,17,sqrt,400,200,1,COMPLETE
99,0.4626709087602057,0.33790960003134096,2024-03-17 08:25:04.261008,2024-03-17 08:29:41.523470,0 days 00:04:37.262462,absolute_error,17,sqrt,1000,240,1,COMPLETE
