number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_n_estimators,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
66,0.5411378345749587,2024-03-19 14:24:31.004887,2024-03-19 14:25:38.428645,0 days 00:01:07.423758,0.0015029602063283854,dart,0.7869946182941371,0.039307350136957415,6.625104804577398e-06,lossguide,0.49990330743434247,13,9,210,forest,3.38092721449617e-06,uniform,0.013736685749170316,0.9890746809451475,COMPLETE
67,0.5414477145947763,2024-03-19 14:25:38.430664,2024-03-19 14:26:45.067374,0 days 00:01:06.636710,0.0010196506868539441,dart,0.7874976041235184,0.03994137920429664,3.6889456801454034e-07,lossguide,0.6639798568732159,13,9,210,forest,4.133587201282e-05,uniform,0.004229675929173934,0.9981205152998537,COMPLETE
68,0.5194964130895057,2024-03-19 14:26:45.069369,2024-03-19 14:27:59.343858,0 days 00:01:14.274489,0.00041457381760258443,dart,0.779310621236552,0.014415320251670301,7.88006299931228e-08,lossguide,0.9313444362330924,13,9,220,forest,7.229088485306123e-05,uniform,0.2776682941784707,0.9973698497392862,COMPLETE
69,0.5420118101911406,2024-03-19 14:27:59.345876,2024-03-19 14:29:09.353195,0 days 00:01:10.007319,0.0001973142640074042,dart,0.7857407973704833,0.04060189478975636,2.877018576885015e-07,depthwise,0.5199786567276939,13,9,210,forest,0.0026235407857356746,uniform,1.2717967710029641e-05,0.9661542468913723,COMPLETE
70,0.5298793407658609,2024-03-19 14:29:09.355296,2024-03-19 14:30:16.516873,0 days 00:01:07.161577,0.0012935258051316625,dart,0.7898527795177402,0.020809901727265125,3.910263229705322e-07,depthwise,0.6625462822410065,13,9,210,forest,0.0019450237387598369,uniform,4.9842561402868685e-06,0.9815414728561784,COMPLETE
71,0.5432291505886273,2024-03-19 14:30:16.517872,2024-03-19 14:31:22.780220,0 days 00:01:06.262348,0.0001786009355424227,dart,0.8690791080333554,0.04068492273674044,4.735134501649544e-07,depthwise,0.3130269552265522,13,9,210,forest,0.00011793606578702321,uniform,1.575638779531409e-05,0.9480810021145621,COMPLETE
72,0.5405791479164022,2024-03-19 14:31:22.781221,2024-03-19 14:32:28.723358,0 days 00:01:05.942137,0.00022437109744311075,dart,0.8869457439698338,0.03801327842415191,3.153016371068463e-07,depthwise,0.30923818511481027,13,9,210,forest,0.0008978275273181598,uniform,1.9026272511657666e-05,0.9563983259663953,COMPLETE
73,0.5433323715408579,2024-03-19 14:32:28.725218,2024-03-19 14:33:39.624094,0 days 00:01:10.898876,0.0006414287743379431,dart,0.853501708351237,0.04355008049940566,1.1173114076516367e-06,depthwise,0.5530939573043057,13,10,220,forest,0.020160109575433998,uniform,1.112532218234989e-05,0.9602919011109052,COMPLETE
74,0.540120712012999,2024-03-19 14:33:39.625617,2024-03-19 14:34:56.583783,0 days 00:01:16.958166,0.0007541824428329334,dart,0.8315573469182673,0.02988567142124344,9.889725352637931e-07,depthwise,0.5467947726828178,13,9,230,forest,0.0301911536684179,uniform,1.5399595075338097e-06,0.9456385443196131,COMPLETE
75,0.5457121329708314,2024-03-19 14:34:56.583783,2024-03-19 14:36:06.377858,0 days 00:01:09.794075,3.0154250922000144e-05,dart,0.7197876246849223,0.04281019364569088,5.303639561074378e-06,depthwise,0.19352586667978938,13,9,220,forest,0.024639470350561497,uniform,2.3845184719979966e-05,0.8974029200016256,COMPLETE
